Topic,Problem Name,Difficulty,Key Pattern / Concept,Common In,Link,Solved
Stack,Evaluate Reverse Polish Notation,Medium,Expression Evaluation,"NC150, Top 150",https://leetcode.com/problems/evaluate-reverse-polish-notation/,
Stack,Basic Calculator,Hard,Stack with Sign Tracking,Top 150,https://leetcode.com/problems/basic-calculator/,
Stack,Basic Calculator II,Medium,"Stack, managing operators",Classic,https://leetcode.com/problems/basic-calculator-ii/,
Stack,Daily Temperatures,Medium,Monotonic Decreasing Stack,NC150,https://leetcode.com/problems/daily-temperatures/,
Stack,Car Fleet,Medium,Monotonic Stack (based on arrival time),NC150,https://leetcode.com/problems/car-fleet/,
Stack,Largest Rectangle in Histogram,Hard,Monotonic Increasing Stack,"NC150, SDE",https://leetcode.com/problems/largest-rectangle-in-histogram/,
Intervals,Merge Intervals,Medium,"Sort by start, then merge overlaps","NC150, Top 150, SDE",https://leetcode.com/problems/merge-intervals/,
Intervals,Insert Interval,Medium,"Find insertion point, then merge","NC150, Top 150",https://leetcode.com/problems/insert-interval/,
Intervals,Non-overlapping Intervals,Medium,Greedy approach on sorted intervals,"NC150, SDE",https://leetcode.com/problems/non-overlapping-intervals/,
Intervals,Minimum Number of Arrows to Burst Balloons,Medium,Greedy (Sort by end point),Top 150,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,
Intervals,Meeting Rooms II,Medium,Min-Heap or Chronological Ordering,SDE,https://www.lintcode.com/problem/919/,
Intervals,Summary Ranges,Easy,Iteration and Range Building,Top 150,https://leetcode.com/problems/summary-ranges/,
Linked Lists,Reverse Linked List,Easy,Pointer Manipulation,"NC150, Top 150, SDE",https://leetcode.com/problems/reverse-linked-list/,
Linked Lists,Merge Two Sorted Lists,Easy,Standard Two-Pointer Merge,"NC150, Top 150, SDE",https://leetcode.com/problems/merge-two-sorted-lists/,
Linked Lists,Reorder List,Medium,Slow/Fast Pointers + Reverse + Merge,NC150,https://leetcode.com/problems/reorder-list/,
Linked Lists,Remove Nth Node From End of List,Medium,Slow/Fast Pointers,"NC150, Top 150, SDE",https://leetcode.com/problems/remove-nth-node-from-end-of-list/,
Linked Lists,Linked List Cycle,Easy,Floyd's Tortoise and Hare,"NC150, Top 150, SDE",https://leetcode.com/problems/linked-list-cycle/,
Linked Lists,Add Two Numbers,Medium,Elementary Math with Pointers,"NC150, Top 150, SDE",https://leetcode.com/problems/add-two-numbers/,
Linked Lists,Copy List with Random Pointer,Medium,Hash Map or Interweaving Nodes,"NC150, Top 150, SDE",https://leetcode.com/problems/copy-list-with-random-pointer/,
Linked Lists,Reverse Nodes in k-Group,Hard,Advanced Pointer Manipulation,"Top 150, SDE",https://leetcode.com/problems/reverse-nodes-in-k-group/,
Linked Lists,Sort List,Medium,Merge Sort for Linked Lists,Top 150,https://leetcode.com/problems/sort-list/,
Linked Lists,LRU Cache,Medium,Hash Map + Doubly Linked List,"NC150, Top 150, SDE",https://leetcode.com/problems/lru-cache/,
Linked Lists,Palindrome Linked List,Easy,Slow/Fast Pointers + Reverse,SDE,https://leetcode.com/problems/palindrome-linked-list/,
Linked Lists,Partition List,Medium,Two Pointers (for less/greater lists),Top 150,https://leetcode.com/problems/partition-list/,
Linked Lists,Rotate List,Medium,"Make circular, then break",Top 150,https://leetcode.com/problems/rotate-list/,
Trees,Invert Binary Tree,Easy,Recursive Swap,"NC150, Top 150",https://leetcode.com/problems/invert-binary-tree/,
Trees,Maximum Depth of Binary Tree,Easy,Recursive DFS,"NC150, Top 150",https://leetcode.com/problems/maximum-depth-of-binary-tree/,
Trees,Diameter of Binary Tree,Easy,Modified DFS (return max depth),"NC150, SDE",https://leetcode.com/problems/diameter-of-binary-tree/,
Trees,Balanced Binary Tree,Easy,DFS with height checking,NC150,https://leetcode.com/problems/balanced-binary-tree/,
Trees,Same Tree,Easy,Simultaneous Traversal,Top 150,https://leetcode.com/problems/same-tree/,
Trees,Subtree of Another Tree,Easy,Recursive Comparison,NC150,https://leetcode.com/problems/subtree-of-another-tree/,
Trees,Symmetric Tree,Easy,Recursive Mirror Check,Top 150,https://leetcode.com/problems/symmetric-tree/,
Trees,Lowest Common Ancestor of a BST,Easy,Exploit BST Properties,"NC150, Top 150, SDE",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,
Trees,Lowest Common Ancestor of a Binary Tree,Medium,Recursive DFS,"Top 150, SDE",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,
Trees,Binary Tree Level Order Traversal,Medium,BFS with a Queue,"NC150, Top 150",https://leetcode.com/problems/binary-tree-level-order-traversal/,
Trees,Binary Tree Right Side View,Medium,BFS (last node at each level),"Top 150, SDE",https://leetcode.com/problems/binary-tree-right-side-view/,
Trees,Validate Binary Search Tree,Medium,DFS with Min/Max Range,"NC150, Top 150",https://leetcode.com/problems/validate-binary-search-tree/,
Trees,Kth Smallest Element in a BST,Medium,In-order Traversal,"NC150, Top 150",https://leetcode.com/problems/kth-smallest-element-in-a-bst/,
Trees,Construct Tree from Preorder and Inorder,Medium,Recursive construction using indices,"NC150, Top 150, SDE",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,
Trees,Binary Tree Maximum Path Sum,Hard,"Recursive DFS, passing up path values","NC150, Top 150, SDE",https://leetcode.com/problems/binary-tree-maximum-path-sum/,
Trees,Serialize and Deserialize Binary Tree,Hard,Traversal with markers for null nodes,"NC150, SDE",https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,
Trees,Path Sum,Easy,Recursive DFS,Top 150,https://leetcode.com/problems/path-sum/,
Trees,Path Sum II,Medium,Backtracking with Path Storage,MAANG,https://leetcode.com/problems/path-sum-ii/,
Trees,Count Complete Tree Nodes,Medium,Binary Search on depth,Top 150,https://leetcode.com/problems/count-complete-tree-nodes/,
Trees,Populating Next Right Pointers in Each Node,Medium,BFS / Level-order connection,"SDE, Top 150",https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,
Trees,Flatten Binary Tree to Linked List,Medium,Post-order traversal (Morris),Top 150,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,
Tries,Implement Trie (Prefix Tree),Medium,Core Implementation with Node Class,"NC150, SDE",https://leetcode.com/problems/implement-trie-prefix-tree/,
Tries,Design Add and Search Words Data Structure,Medium,Trie with Wildcard (.) search,NC150,https://leetcode.com/problems/design-add-and-search-words-data-structure/,
Tries,Word Search II,Hard,Trie for prefix matching + Backtracking,"NC150, SDE",https://leetcode.com/problems/word-search-ii/,
Heaps,Kth Largest Element in an Array,Medium,Min-Heap or Quickselect,"NC150, Top 150, SDE",https://leetcode.com/problems/kth-largest-element-in-an-array/,
Heaps,Task Scheduler,Medium,Max-Heap for task counts,NC150,https://leetcode.com/problems/task-scheduler/,
Heaps,Find Median from Data Stream,Hard,Two Heaps (Min-Heap and Max-Heap),"NC150, Top 150, SDE",https://leetcode.com/problems/find-median-from-data-stream/,
Heaps,Top K Frequent Words,Medium,Min-Heap + Trie/Sorting,MAANG,https://leetcode.com/problems/top-k-frequent-words/,
Heaps,Find K Pairs with Smallest Sums,Medium,Min-Heap,Top 150,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,
Backtracking,Subsets,Medium,Build solutions recursively,"NC150, SDE",https://leetcode.com/problems/subsets/,
Backtracking,Combination Sum,Medium,Backtracking with reusable elements,"NC150, Top 150",https://leetcode.com/problems/combination-sum/,
Backtracking,Permutations,Medium,Backtracking with swap/used array,"NC150, Top 150, SDE",https://leetcode.com/problems/permutations/,
Backtracking,Subsets II,Medium,Handle duplicates with sorting,NC150,https://leetcode.com/problems/subsets-ii/,
Backtracking,Combination Sum II,Medium,Handle duplicates with sorting,NC150,https://leetcode.com/problems/combination-sum-ii/,
Backtracking,Letter Combinations of a Phone Number,Medium,Backtracking,"Top 150, SDE",https://leetcode.com/problems/letter-combinations-of-a-phone-number/,
Backtracking,Generate Parentheses,Medium,Backtracking / Recursion,"NC150, Top 150, SDE",https://leetcode.com/problems/generate-parentheses/,
Backtracking,Palindrome Partitioning,Medium,Backtracking + Palindrome Check,"NC150, SDE",https://leetcode.com/problems/palindrome-partitioning/,
Backtracking,Word Search,Medium,DFS on a Grid,"NC150, Top 150, SDE",https://leetcode.com/problems/word-search/,
Backtracking,N-Queens,Hard,Backtracking with constraint checking,SDE,https://leetcode.com/problems/n-queens/,
Backtracking,Sudoku Solver,Hard,Backtracking,SDE,https://leetcode.com/problems/sudoku-solver/,
Graphs,Number of Islands,Medium,"DFS or BFS to ""sink"" islands","NC150, Top 150, SDE",https://leetcode.com/problems/number-of-islands/,
Graphs,Number of Unique Islands,Medium,"DFS or BFS to ""sink"" islands",,https://www.geeksforgeeks.org/problems/number-of-distinct-islands/1,
Graphs,Clone Graph,Medium,DFS/BFS with a hash map for visited nodes,"NC150, Top 150, SDE",https://leetcode.com/problems/clone-graph/,
Graphs,Rotting Oranges,Medium,Breadth-First Search (BFS),MAANG,https://leetcode.com/problems/rotting-oranges/,
Graphs,Pacific Atlantic Water Flow,Medium,Multi-source BFS/DFS from oceans,NC150,https://leetcode.com/problems/pacific-atlantic-water-flow/,
Graphs,Course Schedule,Medium,Topological Sort (via DFS or Kahn's),"NC150, Top 150",https://leetcode.com/problems/course-schedule/,
Graphs,Word Ladder,Hard,BFS for shortest path in an implicit graph,"NC150, Top 150",https://leetcode.com/problems/word-ladder/,
Graphs,Network Delay Time,Medium,Dijkstra's Algorithm,NC150,https://leetcode.com/problems/network-delay-time/,
Graphs,Min Cost to Connect All Points,Medium,Kruskal's / Prim's Algorithm (MST),NC150,https://leetcode.com/problems/min-cost-to-connect-all-points/,
Graphs,Reconstruct Itinerary,Hard,Hierholzer's Algorithm / DFS,NC150,https://leetcode.com/problems/reconstruct-itinerary/,
Graphs,Cheapest Flights Within K Stops,Medium,Bellman-Ford or Modified Dijkstra's,NC150,https://leetcode.com/problems/cheapest-flights-within-k-stops/,
Graphs,Alien Dictionary,Hard,Topological Sort,NC150,https://www.lintcode.com/problem/892/,
Disjoint Set Union,Number of Provinces,Medium,DSU to count components,Classic,https://leetcode.com/problems/number-of-provinces/,
Disjoint Set Union,Redundant Connection,Medium,DSU to find cycle-forming edge,NC150,https://leetcode.com/problems/redundant-connection/,
Disjoint Set Union,Accounts Merge,Medium,DSU to group emails/accounts,NC150,https://leetcode.com/problems/accounts-merge/,
Disjoint Set Union,Graph Valid Tree,Medium,DSU to check for cycles & connectivity,NC150,https://www.lintcode.com/problem/178/,
DP (1D),Climbing Stairs,Easy,Fibonacci-style DP,"NC150, Top 150",https://leetcode.com/problems/climbing-stairs/,
DP (1D),House Robber,Medium,Rob/Don't Rob decision at each step,"NC150, Top 150, SDE",https://leetcode.com/problems/house-robber/,
DP (1D),House Robber II,Medium,Apply House Robber on two subarrays,NC150,https://leetcode.com/problems/house-robber-ii/,
DP (1D),Decode Ways,Medium,1D Dynamic Programming,"SDE, NC150",https://leetcode.com/problems/decode-ways/,
DP (1D),Coin Change,Medium,Unbounded Knapsack DP,"NC150, Top 150, SDE",https://leetcode.com/problems/coin-change/,
DP (1D),Coin Change II,Medium,Unbounded Knapsack DP,NC150,https://leetcode.com/problems/coin-change-ii/,
DP (1D),Longest Increasing Subsequence,Medium,O(n^2) DP or O(n log n),"NC150, Top 150, SDE",https://leetcode.com/problems/longest-increasing-subsequence/,
DP (1D),Word Break,Medium,1D DP,"NC150, Top 150, SDE",https://leetcode.com/problems/word-break/,
DP (1D),Partition Equal Subset Sum,Medium,0/1 Knapsack DP,"SDE, NC150",https://leetcode.com/problems/partition-equal-subset-sum/,
DP (Multi-dim),Unique Paths,Medium,Basic 2D DP,"NC150, SDE",https://leetcode.com/problems/unique-paths/,
DP (Multi-dim),Minimum Path Sum,Medium,2D DP,"Top 150, SDE",https://leetcode.com/problems/minimum-path-sum/,
DP (Multi-dim),Longest Palindromic Substring,Medium,DP / Expand from Center,"NC150, SDE",https://leetcode.com/problems/longest-palindromic-substring/,
DP (Multi-dim),Longest Common Subsequence,Medium,2D DP with string indices,NC150,https://leetcode.com/problems/longest-common-subsequence/,
DP (Multi-dim),Interleaving String,Medium,2D DP,NC150,https://leetcode.com/problems/interleaving-string/,
DP (Multi-dim),Edit Distance,Hard,2D DP,"NC150, SDE",https://leetcode.com/problems/edit-distance/,
DP (Multi-dim),Burst Balloons,Hard,DP with Intervals,"NC150, SDE",https://leetcode.com/problems/burst-balloons/,
DP (Multi-dim),Regular Expression Matching,Hard,2D DP,"SDE, NC150",https://leetcode.com/problems/regular-expression-matching/,
Greedy,Maximum Subarray,Medium,Kadane's Algorithm,"NC150, Top 150, SDE",https://leetcode.com/problems/maximum-subarray/,
Greedy,Jump Game,Medium,Track max reachable index,"NC150, Top 150, SDE",https://leetcode.com/problems/jump-game/,
Greedy,Jump Game II,Medium,Greedy (level-by-level),Top 150,https://leetcode.com/problems/jump-game-ii/,
Greedy,Gas Station,Medium,Greedy check for total gas and tank level,"NC150, Top 150",https://leetcode.com/problems/gas-station/,
Greedy,Partition Labels,Medium,Track last occurrence of each character,NC150,https://leetcode.com/problems/partition-labels/,
Binary Search,Binary Search,Easy,Core Algorithm,NC150,https://leetcode.com/problems/binary-search/,
Binary Search,Search a 2D Matrix,Medium,Treat 2D as 1D, Binary Search,"NC150, Top 150",https://leetcode.com/problems/search-a-2d-matrix/
Binary Search,Koko Eating Bananas,Medium,Binary Search on the Answer (Rate),NC150,https://leetcode.com/problems/koko-eating-bananas/,
Binary Search,Find Minimum in Rotated Sorted Array,Medium,Modified Binary Search,"NC150, Top 150, SDE",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
Binary Search,Search in Rotated Sorted Array,Medium,Finding Pivot / Modified Binary Search,"NC150, Top 150, SDE",https://leetcode.com/problems/search-in-rotated-sorted-array/,
Binary Search,Time Based Key-Value Store,Medium,Binary Search on Timestamps,NC150,https://leetcode.com/problems/time-based-key-value-store/,
Binary Search,Median of Two Sorted Arrays,Hard,Binary Search on Partitions,"NC150, Top 150, SDE",https://leetcode.com/problems/median-of-two-sorted-arrays/,
Bit Manipulation,Add Binary,Easy,Bit-by-bit simulation,Top 150,https://leetcode.com/problems/add-binary/,
Bit Manipulation,Reverse Bits,Easy,Shifting bits from one number to another,"NC150, Top 150",https://leetcode.com/problems/reverse-bits/,
Bit Manipulation,Number of 1 Bits,Easy,Bitwise AND and shift,"NC150, Top 150",https://leetcode.com/problems/number-of-1-bits/,
Bit Manipulation,Counting Bits,Easy,DP with bit manipulation,NC150,https://leetcode.com/problems/counting-bits/,
Bit Manipulation,Single Number,Easy,XOR,"Top 150, SDE",https://leetcode.com/problems/single-number/,
Bit Manipulation,Single Number II,Medium,Bitwise counting with modulo,Top 150,https://leetcode.com/problems/single-number-ii/,
Bit Manipulation,Sum of Two Integers,Medium,Simulating addition with XOR and AND,NC150,https://leetcode.com/problems/sum-of-two-integers/,
Hash Map,LRU Cache,Medium,,,https://leetcode.com/problems/lru-cache/description/,
Hash Map,LFU Cache,Hard,,,https://leetcode.com/problems/lfu-cache/description/,
